y,c,th
-0.500000000000000,0.000000000000000,0.000000000000000
-0.466666666666667,0.057138373227998,0.000000000000000
-0.433333333333333,0.079400435794850,0.000000000000000
-0.400000000000000,0.095492965855137,0.000000000000000
-0.366666666666667,0.108204554734710,0.000000000000000
-0.333333333333333,0.118627090569529,0.000000000000000
-0.300000000000000,0.127323954473516,0.000000000000000
-0.266666666666667,0.134629989091156,0.000000000000000
-0.233333333333333,0.140761927937649,0.000000000000000
-0.200000000000000,0.145867914789000,0.000000000000000
-0.166666666666667,0.150052719359518,0.000000000000000
-0.133333333333333,0.153391754744541,0.000000000000000
-0.100000000000000,0.155939360246735,0.000000000000000
-0.066666666666667,0.157733888365312,0.000000000000000
-0.033333333333333,0.158800871589700,0.000000000000000
0.000000000000000,0.159154943091895,0.000000000000000
0.033333333333333,0.158800871589700,0.000000000000000
0.066666666666667,0.157733888365312,0.000000000000000
0.100000000000000,0.155939360246735,0.000000000000000
0.133333333333333,0.153391754744541,0.000000000000000
0.166666666666667,0.150052719359518,0.000000000000000
0.200000000000000,0.145867914789000,0.000000000000000
0.233333333333333,0.140761927937649,0.000000000000000
0.266666666666667,0.134629989091156,0.000000000000000
0.300000000000000,0.127323954473516,0.000000000000000
0.333333333333333,0.118627090569529,0.000000000000000
0.366666666666667,0.108204554734710,0.000000000000000
0.400000000000000,0.095492965855137,0.000000000000000
0.433333333333333,0.079400435794850,0.000000000000000
0.466666666666667,0.057138373227998,0.000000000000000
0.500000000000000,0.000000000000000,0.000000000000000
