y,c,th
-0.5,0,0
-0.46551724137931,0.0663778363503909,0
-0.431034482758621,0.0921809026089075,0
-0.396551724137931,0.110787656991656,0
-0.362068965517241,0.125442319678341,0
-0.327586206896552,0.137415176307203,0
-0.293103448275862,0.147361359526406,0
-0.258620689655172,0.155669824860427,0
-0.224137931034483,0.162591829288423,0
-0.189655172413793,0.168298532433618,0
-0.155172413793103,0.172910305002154,0
-0.120689655172414,0.17651298995043,0
-0.0862068965517241,0.179167469578653,0
-0.0517241379310345,0.180915486285362,0
-0.0172413793103448,0.181783191437477,0
0.0172413793103448,0.181783191437477,0
0.0517241379310345,0.180915486285362,0
0.0862068965517241,0.179167469578653,0
0.120689655172414,0.17651298995043,0
0.155172413793103,0.172910305002154,0
0.189655172413793,0.168298532433618,0
0.224137931034483,0.162591829288423,0
0.258620689655172,0.155669824860427,0
0.293103448275862,0.147361359526406,0
0.327586206896552,0.137415176307203,0
0.362068965517241,0.125442319678341,0
0.396551724137931,0.110787656991656,0
0.431034482758621,0.0921809026089075,0
0.46551724137931,0.0663778363503909,0
0.5,0,0
